Donation ID,Giving Entity ID,Fundraiser,Amount Donated,Date,Type of Gift,Donor Name,Type of Donor,Earmarked Fund,Center,"""Thank You"" sent?",Matching Info,Notes,,,,,,,,,,,,,,,,,,,,,,,,,
IND1474-20131226-0001,IND1474,Letter Campaign 2013,$50.00 ,12/26/2013,Direct Donation,Riley Brown 1474,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND1476-20080728-0001,IND1476,Phoneraiser 2008,$50.00 ,7/28/2008,Direct Donation,Charlie Martin 1476,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND1477-20201231-0001,IND1477,Unprompted,$100.00 ,12/31/2020,Direct Donation,Blake Torres 1477,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND1480-20080107-0001,IND1480,Letter Campaign 2007,$75.00 ,1/7/2008,Direct Donation,Jesse Mitchell 1480,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND1482-20061222-0001,IND1482,Letter Campaign 2006,$25.00 ,12/22/2006,Direct Donation,Sawyer Parker 1482,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND1482-20071213-0001,IND1482,Letter Campaign 2007,$25.00 ,12/13/2007,Direct Donation,Sawyer Parker 1482,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND1482-20090112-0001,IND1482,Letter Campaign 2008,$25.00 ,1/12/2009,Direct Donation,Sawyer Parker 1482,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND1482-20091228-0001,IND1482,Letter Campaign 2009,$25.00 ,12/28/2009,Direct Donation,Sawyer Parker 1482,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND1484-20081231-0001,IND1484,Letter Campaign 2008,$100.00 ,12/31/2008,Direct Donation,Phoenix Allen 1484,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND1487-20161201-0001,IND1487,Pat Griffith Scholarship Fund Creation,$100.00 ,12/1/2016,Direct Donation,Sam King 1487,Personal,PGSF,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND1488-20111231-0001,IND1488,Letter Campaign 2011,$25.00 ,12/31/2011,Direct Donation,Reese Mitchell 1488,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND1489-20071228-0001,IND1489,Letter Campaign 2007,$50.00 ,12/28/2007,Direct Donation,Robin Rogers 1489,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND1490-20120918-0001,IND1490,Unprompted,$100.00 ,9/18/2012,Direct Donation,Hunter Nguyen 1490,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND1491-20070105-0001,IND1491,Letter Campaign 2006,$50.00 ,1/5/2007,Direct Donation,Reese Martin 1491,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND1491-20080107-0001,IND1491,Letter Campaign 2007,$100.00 ,1/7/2008,Direct Donation,Reese Martin 1491,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND1492-20071228-0001,IND1492,Letter Campaign 2007,$50.00 ,12/28/2007,Direct Donation,Eden Taylor 1492,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND1492-20091223-0001,IND1492,Letter Campaign 2009,$100.00 ,12/23/2009,Direct Donation,Eden Taylor 1492,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND1494-20081222-0001,IND1494,Letter Campaign 2008,$40.00 ,12/22/2008,Direct Donation,Parker Smith 1494,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND1496-20080211-0001,IND1496,Letter Campaign 2007,$50.00 ,2/11/2008,Direct Donation,Payton Collins 1496,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND1498-20061207-0001,IND1498,Letter Campaign 2006,$100.00 ,12/7/2006,Direct Donation,Spencer Collins 1498,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND1500-20181226-0001,IND1500,In Pat's Memory,$100.00 ,12/26/2018,Direct Donation,Blake Perez 1500,Personal,PGSF,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND1501-20140107-0001,IND1501,Letter Campaign 2013,$50.00 ,1/7/2014,Direct Donation,Reese Edwards 1501,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND1502-20170125-0001,IND1502,Pat Griffith Scholarship Fund Creation,$100.00 ,1/25/2017,Direct Donation,Frankie Torres 1502,Personal,PGSF,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND1502-20171210-0001,IND1502,PGSF Letter Campaign 2017,$20.00 ,12/10/2017,Direct Donation,Frankie Torres 1502,Personal,PGSF,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND1506-20061226-0001,IND1506,Letter Campaign 2006,$25.00 ,12/26/2006,Direct Donation,Spencer Scott 1506,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1401-20061207-0001,UNK1401,Letter Campaign 2006,$500.00 ,12/7/2006,Direct Donation,Emerson Martin 1182,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1439-20080728-0001,UNK1439,Phoneraiser 2008,$40.00 ,7/28/2008,Direct Donation,Riley Young 1439,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1448-20061222-0001,UNK1448,Letter Campaign 2006,$25.00 ,12/22/2006,Direct Donation,Frankie Harris 1448,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1473-20070201-0001,UNK1473,Letter Campaign 2006,$35.00 ,2/1/2007,Direct Donation,Drew Edwards 1473,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1495-20080728-0001,UNK1495,Phoneraiser 2008,$100.00 ,7/28/2008,Direct Donation,Frankie King 1495,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1507-20140811-0001,UNK1507,Amazon Smile,$32.90 ,8/11/2014,Percentage of Purchase,Amazon Smile Foundation,Corporate,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1507-20141107-0001,UNK1507,Amazon Smile,$22.02 ,11/7/2014,Percentage of Purchase,Amazon Smile Foundation,Corporate,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1507-20150217-0001,UNK1507,Amazon Smile,$18.37 ,2/17/2015,Percentage of Purchase,Amazon Smile Foundation,Corporate,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1507-20150506-0001,UNK1507,Amazon Smile,$25.21 ,5/6/2015,Percentage of Purchase,Amazon Smile Foundation,Corporate,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1507-20150814-0001,UNK1507,Amazon Smile,$16.54 ,8/14/2015,Percentage of Purchase,Amazon Smile Foundation,Corporate,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1507-20151116-0001,UNK1507,Amazon Smile,$13.65 ,11/16/2015,Percentage of Purchase,Amazon Smile Foundation,Corporate,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1507-20160512-0001,UNK1507,Amazon Smile,$29.58 ,5/12/2016,Percentage of Purchase,Amazon Smile Foundation,Corporate,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1507-20160815-0001,UNK1507,Amazon Smile,$18.49 ,8/15/2016,Percentage of Purchase,Amazon Smile Foundation,Corporate,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1507-20161107-0001,UNK1507,Amazon Smile,$87.10 ,11/7/2016,Percentage of Purchase,Amazon Smile Foundation,Corporate,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1507-20170206-0001,UNK1507,Amazon Smile,$36.75 ,2/6/2017,Percentage of Purchase,Amazon Smile Foundation,Corporate,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1507-20170511-0001,UNK1507,Amazon Smile,$22.77 ,5/11/2017,Percentage of Purchase,Amazon Smile Foundation,Corporate,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1507-20170817-0001,UNK1507,Amazon Smile,$41.43 ,8/17/2017,Percentage of Purchase,Amazon Smile Foundation,Corporate,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1507-20171115-0001,UNK1507,Amazon Smile,$29.15 ,11/15/2017,Percentage of Purchase,Amazon Smile Foundation,Corporate,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1507-20180212-0001,UNK1507,Amazon Smile,$29.51 ,2/12/2018,Percentage of Purchase,Amazon Smile Foundation,Corporate,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1507-20180517-0001,UNK1507,Amazon Smile,$28.50 ,5/17/2018,Percentage of Purchase,Amazon Smile Foundation,Corporate,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1507-20180813-0001,UNK1507,Amazon Smile,$33.94 ,8/13/2018,Percentage of Purchase,Amazon Smile Foundation,Corporate,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1507-20181029-0001,UNK1507,Amazon Smile,$21.00 ,10/29/2018,Percentage of Purchase,Amazon Smile Foundation,Corporate,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1507-20190215-0001,UNK1507,Amazon Smile,$75.74 ,2/15/2019,Percentage of Purchase,Amazon Smile Foundation,Corporate,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1507-20190509-0001,UNK1507,Amazon Smile,$23.47 ,5/9/2019,Percentage of Purchase,Amazon Smile Foundation,Corporate,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1507-20190809-0001,UNK1507,Amazon Smile,$33.12 ,8/9/2019,Percentage of Purchase,Amazon Smile Foundation,Corporate,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1507-20201124-0001,UNK1507,Amazon Smile,$42.58 ,11/24/2020,Percentage of Purchase,Amazon Smile Foundation,Corporate,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1507-20210201-0001,UNK1507,Amazon Smile,$32.31 ,2/1/2021,Percentage of Purchase,Amazon Smile Foundation,Corporate,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1507-20210528-0001,UNK1507,Amazon Smile,$33.71 ,5/28/2021,Percentage of Purchase,Amazon Smile Foundation,Corporate,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1507-20210831-0001,UNK1507,Amazon Smile,$51.74 ,8/31/2021,Percentage of Purchase,Amazon Smile Foundation,Corporate,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1507-20211130-0001,UNK1507,Amazon Smile,$68.82 ,11/30/2021,Percentage of Purchase,Amazon Smile Foundation,Corporate,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1507-20220329-0001,UNK1507,Amazon Smile,$73.98 ,3/29/2022,Percentage of Purchase,Amazon Smile Foundation,Corporate,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1507-20220531-0001,UNK1507,Amazon Smile,$64.90 ,5/31/2022,Percentage of Purchase,Amazon Smile Foundation,Corporate,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1507-20220930-0001,UNK1507,Amazon Smile,$60.95 ,9/30/2022,Percentage of Purchase,Amazon Smile Foundation,Corporate,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1507-20220930-0002,UNK1507,Amazon Smile,$60.95 ,9/30/2022,Percentage of Purchase,Amazon Smile Foundation,Corporate,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1507-20221101-0001,UNK1507,Amazon Smile,$59.33 ,11/1/2022,Percentage of Purchase,Amazon Smile Foundation,Corporate,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1507-20221101-0002,UNK1507,Amazon Smile,$59.33 ,11/1/2022,Percentage of Purchase,Amazon Smile Foundation,Corporate,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1507-20230228-0001,UNK1507,Amazon Smile,$69.23 ,2/28/2023,Percentage of Purchase,Amazon Smile Foundation,Corporate,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1507-20230228-0002,UNK1507,Amazon Smile,$69.23 ,2/28/2023,Percentage of Purchase,Amazon Smile Foundation,Corporate,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1507-20230531-0001,UNK1507,Amazon Smile,$37.55 ,5/31/2023,Percentage of Purchase,Amazon Smile Foundation,Corporate,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1507-20230531-0002,UNK1507,Amazon Smile,$77.44 ,5/31/2023,Percentage of Purchase,Amazon Smile Foundation,Corporate,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1507-20230531-0003,UNK1507,Amazon Smile,$37.55 ,5/31/2023,Percentage of Purchase,Amazon Smile Foundation,Corporate,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1507-20230531-0004,UNK1507,Amazon Smile,$77.44 ,5/31/2023,Percentage of Purchase,Amazon Smile Foundation,Corporate,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1512-20140417-0001,UNK1512,Bubblemania Fundraiser,$100.00 ,4/17/2014,Direct Donation,Bubblemania and Company LA,Corporate,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1516-20181020-0001,UNK1516,Sun & Fun Inaugural Family Picnic 2018,$250.00 ,10/20/2018,Direct Donation,Controller Ron Galperin,Political,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1518-20191014-0001,UNK1518,Sun & Fun Family Picnic 2019,$500.00 ,10/14/2019,Direct Donation,Council Member Paul Koretz Cd 5,Political,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1520-20180930-0001,UNK1520,Sun & Fun Inaugural Family Picnic 2018,"$1,000.00 ",9/30/2018,Direct Donation,"David E. Ryu, Councilmember",Political,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1525-20180810-0001,UNK1525,Sun & Fun Inaugural Family Picnic 2018,"$1,912.68 ",8/10/2018,Direct Donation,Eventbrite,Corporate,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1527-20070227-0001,UNK1527,Letter Campaign 2006,$50.00 ,2/27/2007,Direct Donation,"Freetime Media, Inc.",Corporate,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1528-20111207-0001,UNK1528,Goodsearch / Goodshop Fundraiser,$52.86 ,12/7/2011,Percentage of Purchase,Goodsearch / Goodshop,Corporate,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1528-20111207-0002,UNK1528,Goodsearch / Goodshop Fundraiser,$52.86 ,12/7/2011,Percentage of Purchase,Goodsearch / Goodshop,Corporate,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1528-20111207-0003,UNK1528,Goodsearch / Goodshop Fundraiser,$52.87 ,12/7/2011,Percentage of Purchase,Goodsearch / Goodshop,Corporate,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1528-20121205-0001,UNK1528,Goodsearch / Goodshop Fundraiser,$18.40 ,12/5/2012,Percentage of Purchase,Goodsearch / Goodshop,Corporate,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1528-20121205-0002,UNK1528,Goodsearch / Goodshop Fundraiser,$18.40 ,12/5/2012,Percentage of Purchase,Goodsearch / Goodshop,Corporate,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1528-20121205-0003,UNK1528,Goodsearch / Goodshop Fundraiser,$18.41 ,12/5/2012,Percentage of Purchase,Goodsearch / Goodshop,Corporate,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1528-20131119-0001,UNK1528,Goodsearch / Goodshop Fundraiser,$3.24 ,11/19/2013,Percentage of Purchase,Goodsearch / Goodshop,Corporate,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1528-20131119-0002,UNK1528,Goodsearch / Goodshop Fundraiser,$3.73 ,11/19/2013,Percentage of Purchase,Goodsearch / Goodshop,Corporate,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1528-20131119-0003,UNK1528,Goodsearch / Goodshop Fundraiser,$6.66 ,11/19/2013,Percentage of Purchase,Goodsearch / Goodshop,Corporate,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1528-20141104-0001,UNK1528,Goodsearch / Goodshop Fundraiser,$19.03 ,11/4/2014,Percentage of Purchase,Goodsearch / Goodshop,Corporate,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1528-20151103-0001,UNK1528,Goodsearch / Goodshop Fundraiser,$17.57 ,11/3/2015,Percentage of Purchase,Goodsearch / Goodshop,Corporate,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1528-20161107-0001,UNK1528,Goodsearch / Goodshop Fundraiser,$10.42 ,11/7/2016,Percentage of Purchase,Goodsearch / Goodshop,Corporate,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1528-20171128-0001,UNK1528,Goodsearch / Goodshop Fundraiser,$19.39 ,11/28/2017,Percentage of Purchase,Goodsearch / Goodshop,Corporate,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1530-20070514-0001,UNK1530,Training and Staff Development; CAAEYC 2007,"$1,000.00 ",5/14/2007,Direct Donation,Harry Pregerson Board,Political,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1532-20181120-0001,UNK1532,Sun & Fun Inaugural Family Picnic 2018,"$2,500.00 ",11/20/2018,Direct Donation,"Herb Wesson, Council President",Political,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1533-20140225-0001,UNK1533,Letter Campaign 2013,$50.00 ,2/25/2014,Direct Donation,Highland Park Ebell Club,Foundation,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1538-20181120-0001,UNK1538,Sun & Fun Inaugural Family Picnic 2018,"$2,500.00 ",11/20/2018,Direct Donation,"Jose Huizar, Councilmember",Political,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1542-20111207-0001,UNK1542,Picture Day 2011,$124.15 ,12/7/2011,Percentage of Purchase,Lifetouch National School Studios,Corporate,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1542-20191014-0001,UNK1542,Picture Day 2019,$73.61 ,10/14/2019,Percentage of Purchase,Lifetouch National School Studios,Corporate,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1542-20220531-0001,UNK1542,Picture Day 2022,$100.32 ,5/31/2022,Percentage of Purchase,Lifetouch National School Studios,Corporate,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1542-20220616-0001,UNK1542,Picture Day 2022,$192.57 ,6/16/2022,Percentage of Purchase,Lifetouch National School Studios,Corporate,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1542-20220930-0001,UNK1542,Picture Day 2022,$145.63 ,9/30/2022,Percentage of Purchase,Lifetouch National School Studios,Corporate,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1542-20221231-0002,UNK1542,Picture Day 2022,$233.86 ,12/31/2022,Percentage of Purchase,Lifetouch National School Studios,Corporate,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1546-20190829-0001,UNK1546,Sun & Fun Family Picnic 2019,"$1,000.00 ",8/29/2019,Direct Donation,Marqueece Harris-Dawson Council Member,Political,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1546-20190429-0001,UNK1546,Sun & Fun Inaugural Family Picnic 2018,$500.00 ,4/29/2019,Direct Donation,Marqueece Harris-Dawson Council Member,Political,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1548-20111207-0001,UNK1548,Midland Fundraiser,$80.00 ,12/7/2011,Percentage of Purchase,Midland Fundraising,Corporate,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1549-20050922-0001,UNK1549,Childcare Grant - MWA,"$1,000.00 ",9/22/2005,Grant,Mount Washington Association,Foundation,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1549-20071127-0001,UNK1549,Letter Campaign 2007,"$1,000.00 ",11/27/2007,Grant,Mount Washington Association,Foundation,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1549-20171128-0001,UNK1549,PGSF Letter Campaign 2017,"$1,000.00 ",11/28/2017,Grant,Mount Washington Association,Foundation,PGSF,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1549-20081124-0001,UNK1549,Phoneraiser 2008,"$1,000.00 ",11/24/2008,Grant,Mount Washington Association,Foundation,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1549-20061019-0001,UNK1549,Unprompted,"$1,000.00 ",10/19/2006,Grant,Mount Washington Association,Foundation,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1550-20190111-0001,UNK1550,In Pat's Memory,$250.00 ,1/11/2019,Direct Donation,Mt. Washington Homeowners Alliance,Foundation,PGSF,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1550-20220105-0001,UNK1550,Unprompted,$500.00 ,1/5/2022,Direct Donation,Mt. Washington Homeowners Alliance,Foundation,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1551-20191226-0001,UNK1551,In Pat's Memory,$50.00 ,12/26/2019,Direct Donation,Network For Good,Foundation,PGSF,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1551-20201124-0001,UNK1551,Unprompted,$60.00 ,11/24/2020,Direct Donation,Network For Good,Foundation,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1551-20210101-0001,UNK1551,Unprompted,$50.00 ,1/1/2021,Direct Donation,Network For Good,Foundation,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1553-20200531-0001,UNK1553,Check from Pasadena Community Foundation,$250.00 ,5/31/2020,Grant,Pasadena Community Foundation,Foundation,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1553-20200430-0001,UNK1553,Grant 25008 Cochran-Bond Investment Group,$250.00 ,4/30/2020,Grant,Pasadena Community Foundation,Foundation,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1555-20201124-0001,UNK1555,Unprompted,$574.59 ,11/24/2020,Grant,Pledgeling Foundation,Foundation,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1560-20181115-0001,UNK1560,In Pat's Memory,"$1,000.00 ",11/15/2018,Direct Donation,Self Realization Fellowship Church,Foundation,PGSF,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1560-20191126-0001,UNK1560,In Pat's Memory,"$1,000.00 ",11/26/2019,Direct Donation,Self Realization Fellowship Church,Foundation,PGSF,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1560-20070227-0001,UNK1560,Letter Campaign 2006,$500.00 ,2/27/2007,Direct Donation,Self Realization Fellowship Church,Foundation,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1560-20071127-0001,UNK1560,Letter Campaign 2007,$400.00 ,11/27/2007,Direct Donation,Self Realization Fellowship Church,Foundation,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1560-20080321-0001,UNK1560,Letter Campaign 2007,$400.00 ,3/21/2008,Direct Donation,Self Realization Fellowship Church,Foundation,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1560-20091203-0001,UNK1560,Letter Campaign 2009,$250.00 ,12/3/2009,Direct Donation,Self Realization Fellowship Church,Foundation,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1560-20100402-0001,UNK1560,Letter Campaign 2009,$250.00 ,4/2/2010,Direct Donation,Self Realization Fellowship Church,Foundation,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1560-20141119-0001,UNK1560,Letter Campaign 2014,"$2,000.00 ",11/19/2014,Direct Donation,Self Realization Fellowship Church,Foundation,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1560-20151120-0001,UNK1560,Letter Campaign 2015,"$2,000.00 ",11/20/2015,Direct Donation,Self Realization Fellowship Church,Foundation,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1560-20161202-0001,UNK1560,Pat Griffith Scholarship Fund Creation,"$2,000.00 ",12/2/2016,Direct Donation,Self Realization Fellowship Church,Foundation,PGSF,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1560-20171117-0001,UNK1560,PGSF Letter Campaign 2017,"$1,000.00 ",11/17/2017,Direct Donation,Self Realization Fellowship Church,Foundation,PGSF,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1560-20081124-0001,UNK1560,Phoneraiser 2008,$400.00 ,11/24/2008,Direct Donation,Self Realization Fellowship Church,Foundation,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1560-20070413-0001,UNK1560,Unprompted,$500.00 ,4/13/2007,Direct Donation,Self Realization Fellowship Church,Foundation,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK1560-20101203-0001,UNK1560,Unprompted,$250.00 ,12/3/2010,Direct Donation,Self Realization Fellowship Church,Foundation,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
