ChildID,Name,Birthdate,RateType,Enrolled,StartDate,EndDate,FamilyID,PrimaryPayerID,SecondaryPayerID
ChildA-1830,Veronica Simpson,7/21/2016,Community,Graduated,9/7/2017,7/20/2021,FID0215,FAM0916,FAM0916
ChildA-1495,Tiffany Mason,1/6/2012,City,Graduated,11/27/2015,1/4/2017,FID0216,FAM0918,FAM0918
ChildA-1454,Randy Foster,7/12/2012,Community,Graduated,12/30/2014,7/11/2017,FID0218,FAM0920,FAM0920
ChildA-1454,Heather Olson,12/28/2021,City,Enrolled,9/12/2022,,FID0217,FAM0920,FAM0920
ChildA-1781,Larry Kelley,7/20/2007,City,Graduated,6/21/2011,7/18/2012,FID0218,FAM0922,FAM0922
ChildA-1781,Kathy Nelson,5/18/2014,City,Graduated,10/27/2015,5/17/2019,FID0219,FAM0922,FAM0922
ChildA-2307,Hector Baker,12/13/2005,City,Graduated,7/10/2009,12/12/2010,FID0219,FAM0926,FAM0926
ChildA-2307,Joshua Klein,4/13/2016,City,Graduated,1/9/2019,4/12/2021,FID0220,FAM0926,FAM0926
ChildA-1932,Elizabeth Fuentes,7/10/1999,Community,Graduated,11/27/2003,7/8/2004,FID0221,FAM0930,FAM0930
ChildA-1932,Robert Morgan,1/7/2015,Community,Graduated,8/3/2016,1/6/2020,FID0220,FAM0930,FAM0930
ChildA-1179,Charles Cooper,4/16/2019,Community,Graduated,12/15/2023,4/14/2024,FID0222,FAM0934,FAM0934
ChildA-1179,Jesse Long,1/20/2022,Community,Graduated,4/16/2024,6/15/2024,FID0221,FAM0934,FAM0934
ChildA-1215,Charles Erickson,1/31/2014,Federal,Graduated,12/6/2014,2/23/2018,FID0223,FAM0937,FAM0937
ChildA-1215,Austin Leonard,7/21/2018,Federal,Graduated,3/7/2020,7/20/2023,FID0222,FAM0937,FAM0937
ChildA-2179,Brian Williams,8/28/2009,Community,Graduated,8/23/2010,8/27/2014,FID0224,FAM0947,FAM0947
ChildA-2179,Sarah Russo,10/25/2008,City,Graduated,12/27/2010,10/24/2013,FID0223,FAM0947,FAM0947
ChildA-1751,Jennifer Wright,1/22/2015,Community,Graduated,3/26/2019,1/21/2020,FID0225,FAM0951,FAM0951
ChildA-1751,Michael Huffman,8/14/2018,Community,Graduated,3/7/2022,8/13/2023,FID0224,FAM0951,FAM0951
ChildA-1460,Kelly Vaughn,8/15/2013,City,Graduated,1/6/2016,8/14/2018,FID0225,FAM0958,FAM0958
ChildA-1460,Jared Harris,6/7/2017,City,Graduated,6/8/2019,6/6/2022,FID0226,FAM0958,FAM0958
ChildA-1366,Richard Grant,3/30/1996,Community,Graduated,8/25/1999,3/29/2001,FID0227,FAM0963,FAM0963
ChildA-1366,Matthew Erickson,4/9/1999,Community,Graduated,9/12/2002,4/7/2004,FID0226,FAM0963,FAM0963
ChildA-1043,Sylvia Higgins,7/13/2004,Community,Graduated,7/5/2006,7/12/2009,FID0228,FAM0965,FAM0965
ChildA-1043,Brendan Moore,10/2/2011,Community,Graduated,7/16/2016,9/30/2016,FID0227,FAM0965,FAM0965
ChildA-2015,Amy Taylor,2/2/2017,City,Removed,4/23/2020,11/16/2020,FID0229,FAM0969,FAM0969
ChildA-2015,Rachel Mills,8/11/2020,City,Graduated,1/1/2023,8/18/2024,FID0228,FAM0969,FAM0969
ChildA-1044,Alexandra Castillo,4/25/2018,City,Removed,7/12/2020,11/23/2021,FID0229,FAM0971,FAM0971
ChildA-1044,Anthony Byrd,10/12/2019,City,Graduated,5/2/2022,10/10/2024,FID0230,FAM0971,FAM0971
ChildA-1571,Brenda Rivers,3/20/2016,City,Graduated,7/22/2020,3/19/2021,FID0231,FAM0979,FAM0979
ChildA-1571,Jamie Davis,3/17/2022,City,Removed,1/6/2023,11/28/2023,FID0230,FAM0979,FAM0979
ChildA-1649,Amy Norton,2/25/2010,City,Graduated,10/21/2012,2/24/2015,FID0231,FAM0983,FAM0983
ChildA-1649,Jasmine Wilson,12/26/2020,City,Removed,10/14/2022,12/22/2022,FID0232,FAM0983,FAM0983
ChildA-2075,Steven Fields,7/16/2009,City,Graduated,2/25/2013,7/15/2014,FID0232,FAM0985,FAM0985
ChildA-1404,Ashley Holmes,6/8/2015,Community,Graduated,12/25/2016,6/6/2020,FID0234,FAM0995,FAM0995
ChildA-1404,Frances Baxter,9/19/2018,Community,Graduated,3/5/2019,9/18/2023,FID0233,FAM0995,FAM0995
ChildA-1698,Angela Taylor,8/5/2011,Federal,Graduated,1/21/2014,8/3/2016,FID0234,FAM1010,FAM1010
ChildA-1537,David Adkins,9/24/2011,Federal,Graduated,10/27/2013,9/22/2016,FID0235,FAM1011,FAM1011
ChildA-1356,Mariah Brown,11/25/2020,Community,Enrolled,6/6/2024,,FID0235,FAM1018,FAM1018
ChildA-1356,Emily Acevedo,1/8/2024,Community,Enrolled,12/4/2024,,FID0236,FAM1018,FAM1018
ChildA-1709,Joshua Lee,3/3/2012,Community,Graduated,5/15/2015,3/2/2017,FID0236,FAM1022,FAM1022
ChildA-1709,Sarah Barton,10/22/2014,Community,Graduated,11/29/2016,10/21/2019,FID0237,FAM1022,FAM1022
ChildA-1248,Rita Sanchez,10/26/1998,Community,Graduated,1/22/2000,10/25/2003,FID0238,FAM1024,FAM1024
ChildA-1248,Jacob Williams,9/14/2017,Community,Graduated,9/6/2018,9/13/2022,FID0237,FAM1024,FAM1024
ChildA-1933,Melanie Barnes,10/15/2005,City,Graduated,8/28/2009,10/14/2010,FID0239,FAM1268,FAM1268
ChildA-1933,Jay Smith,7/10/2015,City,Graduated,3/3/2019,5/1/2020,FID0238,FAM1268,FAM1268
CH0500,Jennifer,5/23/2024,Community,Enrolled,3/3/2025,,FID0500,GID0500,GID0500
CH0501,Danielle,4/23/2024,City,Enrolled,3/29/2025,,FID0501,GID0501,GID0501
CH0502,Amanda,9/20/2024,City,Enrolled,1/23/2025,,FID0502,GID0502,GID0502
CH0504,Spencer,11/19/2024,City,Enrolled,11/7/2024,,FID0504,GID0504,GID0504
CH0505,Juan,4/18/2025,City,Enrolled,4/17/2025,,FID0505,GID0505,GID0505
CH0506,Anthony,9/20/2024,City,Enrolled,2/7/2025,,FID0506,GID0506,GID0506
CH0507,Aaron,1/18/2025,City,Enrolled,3/6/2025,,FID0507,GID0507,GID0507
CH0508,Christine,6/28/2023,City,Enrolled,3/9/2025,,FID0508,GID0508,GID0508
CH0509,Robert,8/27/2023,City,Enrolled,3/27/2025,,FID0509,GID0509,GID0509
CH0510,John,1/24/2024,City,Enrolled,11/12/2024,,FID0510,GID0510,GID0510
CH0511,Joseph,9/26/2023,City,Enrolled,11/7/2024,,FID0511,GID0511,GID0511
CH0512,Hunter,9/26/2023,City,Enrolled,1/5/2025,,FID0512,GID0512,GID0512
CH0513,Debbie,9/26/2023,City,Enrolled,12/17/2024,,FID0513,GID0513,GID0513
CH0514,Justin,9/26/2023,City,Enrolled,4/17/2025,,FID0514,GID0514,GID0514
CH0515,Joseph,3/24/2024,City,Enrolled,12/3/2024,,FID0515,GID0515,GID0515
CH0516,Timothy,12/25/2023,Community,Enrolled,1/13/2025,,FID0516,GID0516,GID0516
CH0517,Jose,3/30/2023,City,Enrolled,1/26/2025,,FID0517,GID0517,GID0517
CH0518,Melissa,8/2/2022,City,Enrolled,3/1/2025,,FID0518,GID0518,GID0518
CH0519,Theresa,3/30/2023,City,Enrolled,10/27/2024,,FID0519,GID0519,GID0519
CH0521,Adam,5/4/2022,City,Enrolled,2/14/2025,,FID0521,GID0521,GID0521
CH0522,Douglas,12/30/2022,City,Enrolled,10/23/2024,,FID0522,GID0522,GID0522
CH0523,Jason,10/31/2022,Community,Enrolled,1/29/2025,,FID0523,GID0523,GID0523
CH0524,Mary,1/29/2023,City,Enrolled,3/23/2025,,FID0524,GID0524,GID0524
CH0525,Alexis,10/1/2022,City,Enrolled,12/11/2024,,FID0525,GID0525,GID0525
CH0526,Clarence,7/3/2022,City,Enrolled,1/30/2025,,FID0526,GID0526,GID0526
CH0527,Tyler,1/29/2023,City,Enrolled,4/2/2025,,FID0527,GID0527,GID0527
CH0528,Isabel,3/30/2023,City,Enrolled,2/1/2025,,FID0528,GID0528,GID0528
CH0530,Derek,5/4/2022,City,Enrolled,12/6/2024,,FID0530,GID0530,GID0530
CH0531,Kristi,7/3/2022,City,Enrolled,12/5/2024,,FID0531,GID0531,GID0531
CH0532,Richard,10/31/2022,City,Enrolled,12/28/2024,,FID0532,GID0532,GID0532
CH0533,Charles,6/3/2022,Community,Enrolled,3/15/2025,,FID0533,GID0533,GID0533
CH0534,Valerie,10/31/2022,City,Enrolled,12/14/2024,,FID0534,GID0534,GID0534
CH0535,Alicia,5/9/2021,City,Enrolled,3/1/2025,,FID0535,GID0535,GID0535
CH0536,Brenda,11/5/2021,City,Enrolled,1/5/2025,,FID0536,GID0536,GID0536
CH0537,John,4/4/2022,Community,Enrolled,2/19/2025,,FID0537,GID0537,GID0537
CH0538,Gregory,9/6/2021,City,Enrolled,3/16/2025,,FID0538,GID0538,GID0538
CH0539,Michelle,10/6/2021,City,Enrolled,4/13/2025,,FID0539,GID0539,GID0539
CH0540,Gabrielle,10/11/2020,City,Enrolled,12/10/2024,,FID0540,GID0540,GID0540
CH0541,Kyle,11/5/2021,City,Enrolled,3/18/2025,,FID0541,GID0541,GID0541
CH0543,David,3/5/2022,City,Enrolled,1/12/2025,,FID0543,GID0543,GID0543
CH0544,Olivia,8/12/2020,City,Enrolled,2/12/2025,,FID0544,GID0544,GID0544
CH0545,Benjamin,11/10/2020,City,Enrolled,11/10/2024,,FID0545,GID0545,GID0545
CH0546,Alex,3/5/2022,City,Enrolled,11/17/2024,,FID0546,GID0546,GID0546
CH0547,Anthony,3/5/2022,City,Enrolled,10/31/2024,,FID0547,GID0547,GID0547
CH0548,Timothy,1/4/2022,City,Enrolled,11/2/2024,,FID0548,GID0548,GID0548
CH0549,Ryan,4/4/2022,City,Enrolled,4/6/2025,,FID0549,GID0549,GID0549
CH0551,Brian,3/10/2021,City,Enrolled,12/26/2024,,FID0551,GID0551,GID0551
CH0552,Kimberly,4/9/2021,City,Enrolled,3/18/2025,,FID0552,GID0552,GID0552
CH0554,Stephen,1/9/2021,City,Enrolled,10/21/2024,,FID0554,GID0554,GID0554
CH0556,Andrew,6/13/2020,City,Enrolled,10/25/2024,,FID0556,GID0556,GID0556
CH0558,Timothy,7/8/2021,Community,Enrolled,1/1/2025,,FID0558,GID0558,GID0558
CH0560,Michelle,7/13/2020,Community,Enrolled,12/6/2024,,FID0560,GID0560,GID0560
CH0561,Tyler,8/7/2021,City,Enrolled,11/10/2024,,FID0561,GID0561,GID0561
CH0562,Shawna,9/11/2020,City,Enrolled,10/21/2024,,FID0562,GID0562,GID0562
CH0600,Oscar,2/17/2025,Federal,Enrolled,1/1/2025,,FID0600,GID0600,GID0600
CH0601,Troy,3/19/2025,Federal,Enrolled,12/9/2024,,FID0601,GID0601,GID0601
CH0602,Ryan,5/23/2024,Federal,Enrolled,11/11/2024,,FID0602,GID0602,GID0602
CH0603,Michael,3/19/2025,Federal,Enrolled,2/5/2025,,FID0603,GID0603,GID0603
CH0604,Rachel,3/19/2025,Federal,Enrolled,3/22/2025,,FID0604,GID0604,GID0604
CH0605,Jessica,8/27/2023,Federal,Enrolled,2/27/2025,,FID0605,GID0605,GID0605
CH0606,Joann,6/28/2023,Federal,Enrolled,2/26/2025,,FID0606,GID0606,GID0606
CH0607,Samantha,11/25/2023,Federal,Enrolled,12/6/2024,,FID0607,GID0607,GID0607
CH0608,Jeanne,12/25/2023,Federal,Enrolled,1/17/2025,,FID0608,GID0608,GID0608
CH0609,James,4/29/2023,Federal,Enrolled,1/4/2025,,FID0609,GID0609,GID0609
CH0610,Mary,11/25/2023,Federal,Enrolled,3/8/2025,,FID0610,GID0610,GID0610
CH0611,James,3/24/2024,Community,Enrolled,11/29/2024,,FID0611,GID0611,GID0611
CH0612,Nicholas,8/27/2023,Federal,Enrolled,2/24/2025,,FID0612,GID0612,GID0612
CH0613,Brittany,5/4/2022,Federal,Enrolled,12/16/2024,,FID0613,GID0613,GID0613
CH0614,Steven,10/31/2022,Federal,Enrolled,2/17/2025,,FID0614,GID0614,GID0614
CH0617,Christina,2/28/2023,Federal,Enrolled,11/23/2024,,FID0617,GID0617,GID0617
CH0618,Carol,6/3/2022,Federal,Enrolled,12/13/2024,,FID0618,GID0618,GID0618
CH0619,Allison,1/29/2023,Federal,Enrolled,3/26/2025,,FID0619,GID0619,GID0619
CH0620,Tommy,8/2/2022,Federal,Enrolled,3/30/2025,,FID0620,GID0620,GID0620
CH0621,Eduardo,5/4/2022,Federal,Enrolled,3/24/2025,,FID0621,GID0621,GID0621
CH0622,Anita,11/30/2022,Federal,Enrolled,11/5/2024,,FID0622,GID0622,GID0622
CH0623,Jennifer,12/30/2022,Federal,Enrolled,12/23/2024,,FID0623,GID0623,GID0623
CH0624,Charles,11/30/2022,Community,Enrolled,2/10/2025,,FID0624,GID0624,GID0624
CH0625,Katherine,9/1/2022,Federal,Enrolled,4/6/2025,,FID0625,GID0625,GID0625
CH0626,Michael,2/28/2023,Federal,Enrolled,3/5/2025,,FID0626,GID0626,GID0626
CH0627,Linda,3/30/2023,Federal,Enrolled,2/3/2025,,FID0627,GID0627,GID0627
CH0628,Michael,5/9/2021,Community,Enrolled,10/27/2024,,FID0628,GID0628,GID0628
CH0629,Judy,6/8/2021,Federal,Enrolled,12/30/2024,,FID0629,GID0629,GID0629
CH0630,Breanna,5/14/2020,Federal,Enrolled,3/20/2025,,FID0630,GID0630,GID0630
CH0631,Samantha,1/4/2022,Federal,Enrolled,4/7/2025,,FID0631,GID0631,GID0631
CH0632,Jeremy,4/4/2022,Federal,Enrolled,3/14/2025,,FID0632,GID0632,GID0632
CH0633,Denise,7/13/2020,Federal,Enrolled,11/4/2024,,FID0633,GID0633,GID0633
CH0634,William,11/5/2021,Federal,Enrolled,1/24/2025,,FID0634,GID0634,GID0634
CH0635,Megan,11/19/2024,Community,Enrolled,2/13/2025,,FID0635,GID0635,GID0635
CH0636,Elizabeth,7/22/2024,Community,Enrolled,10/28/2024,,FID0636,GID0636,GID0636
CH0637,Brent,5/23/2024,Community,Enrolled,8/8/2024,,FID0637,GID0637,GID0637
CH0638,Raymond,5/29/2023,Community,Enrolled,6/12/2024,,FID0638,GID0638,GID0638
CH0639,Susan,8/27/2023,Community,Enrolled,1/20/2024,,FID0639,GID0639,GID0639
CH0640,Donna,4/29/2023,Community,Enrolled,7/11/2024,,FID0640,GID0640,GID0640
CH0641,Martin,3/30/2023,Community,Enrolled,2/1/2024,,FID0641,GID0641,GID0641
CH0642,Taylor,4/29/2023,Community,Enrolled,9/29/2024,,FID0642,GID0642,GID0642
CH0643,Dylan,4/29/2023,Community,Enrolled,11/15/2023,,FID0643,GID0643,GID0643
CH0644,Tracy,8/2/2022,Community,Enrolled,1/14/2023,,FID0644,GID0644,GID0644
CH0645,Benjamin,1/9/2021,Community,Enrolled,3/6/2025,,FID0645,GID0645,GID0645
CH0647,Nicholas,6/3/2022,Community,Enrolled,10/17/2022,,FID0647,GID0647,GID0647
CH0648,Alison,10/6/2021,Community,Enrolled,2/26/2025,,FID0648,GID0648,GID0648
CH0649,Brian,8/7/2021,Community,Enrolled,11/14/2024,,FID0649,GID0649,GID0649
ChildA-2500,WaitlistChild1,10/8/2025,Community,Waitlist,,,FID0650,GID0650,GID0650
ChildA-2501,WaitlistChild2,8/8/2025,Community,Waitlist,,,FID0651,GID0651,GID0651
ChildA-2502,WaitlistChild3,6/3/2025,Community,Waitlist,,,FID0652,GID0652,GID0652
ChildA-2503,WaitlistChild4,9/21/2025,Community,Waitlist,,,FID0653,GID0653,GID0653
ChildA-2504,WaitlistChild5,7/24/2025,Community,Waitlist,,,FID0654,GID0654,GID0654
ChildA-2505,WaitlistChild6,7/18/2025,Community,Waitlist,,,FID0655,GID0655,GID0655
ChildA-2506,WaitlistChild7,9/21/2025,Community,Waitlist,,,FID0656,GID0656,GID0656
ChildA-2507,WaitlistChild8,4/25/2025,Community,Waitlist,,,FID0657,GID0657,GID0657
ChildA-1119,Nina Dickson,9/13/2016,City,Removed,2/10/2019,4/13/2019,FID0240,IND0002,IND0002
ChildA-1002,Kenneth Rivera,7/16/2020,Community,Removed,11/27/2020,5/31/2022,FID0241,IND0010,IND0010
ChildA-1794,Tyler Wilson,4/8/1994,Community,Graduated,6/19/1998,4/7/1999,FID0242,IND0011,IND0011
ChildA-2402,Michelle Gonzalez,9/12/2012,City,Graduated,7/9/2016,9/11/2017,FID0243,IND0018,IND0018
ChildA-2282,Jeremy Smith,9/24/2007,Community,Graduated,8/6/2008,9/22/2012,FID0244,IND0019,IND0019
ChildA-2358,Morgan Wells,4/22/2013,City,Graduated,8/14/2013,4/21/2018,FID0245,IND0026,IND0026
ChildA-1185,Michelle Jones,12/3/2009,Community,Graduated,3/19/2012,12/2/2014,FID0246,IND0029,IND0029
ChildA-1711,Adam Gutierrez,5/12/1994,Community,Graduated,7/22/1998,5/11/1999,FID0247,IND0040,IND0040
ChildA-1116,Julia Clarke,5/25/2009,Community,Graduated,3/17/2010,5/24/2014,FID0248,IND0041,IND0041
ChildA-2096,Morgan Cox,3/20/2012,Community,Graduated,4/9/2014,3/19/2017,FID0249,IND0042,IND0042
ChildA-1003,Nicole Velasquez,1/6/1997,Community,Graduated,2/22/1998,1/5/2002,FID0250,IND0092,IND0092
ChildA-1486,Joy Quinn,10/8/1996,Community,Graduated,8/7/2000,10/7/2001,FID0251,IND0097,IND0097
ChildA-1065,Tracey Walton,5/28/2021,Community,Enrolled,3/17/2025,,FID0253,IND0120,IND0120
ChildA-2499,Donna Mccall,4/14/2023,Community,Graduated,8/14/2024,10/15/2024,FID0254,IND0121,IND0121
ChildA-1503,Allen Ferrell,7/14/2022,Community,Enrolled,6/14/2024,,FID0256,IND0125,IND0125
ChildA-2220,Colleen Christensen,3/25/1994,Community,Graduated,3/17/1998,3/24/1999,FID0257,IND0126,IND0126
ChildA-1485,Cynthia Potter,6/11/2011,City,Graduated,11/9/2013,6/9/2016,FID0258,IND0129,IND0129
ChildA-1934,Nicholas Poole,6/5/2016,Community,Graduated,5/24/2018,6/4/2021,FID0259,IND0130,IND0130
ChildA-2451,Kelly Moore,5/21/2019,Community,Graduated,8/16/2020,5/19/2024,FID0260,IND0138,IND0138
ChildA-2230,Heather White,4/2/2017,Community,Graduated,6/7/2021,4/1/2022,FID0261,IND0143,IND0143
ChildA-1654,Derrick Curtis,2/13/2013,Community,Removed,3/12/2017,12/27/2017,FID0263,IND0151,IND0151
ChildA-2423,Karen Jones,10/8/2018,Community,Graduated,1/13/2020,10/7/2023,FID0264,IND0156,IND0156
ChildA-1707,Mark Valenzuela,1/22/2016,Community,Graduated,11/2/2020,1/20/2021,FID0265,IND0163,IND0163
ChildA-2400,Jerry Johnson,8/19/2008,Community,Graduated,1/19/2012,8/18/2013,FID0266,IND0164,IND0164
ChildA-1370,Patrick Mitchell,8/5/2012,Federal,Graduated,5/31/2017,8/4/2017,FID0267,IND0169,IND0169
ChildA-1131,Lori Curry,5/16/1998,Community,Graduated,5/26/2001,5/15/2003,FID0268,IND0172,IND0172
ChildA-1769,Christina Patrick,7/8/2005,Community,Graduated,12/10/2009,7/7/2010,FID0269,IND0183,IND0183
ChildA-2190,Janet Berg,12/12/2018,Community,Graduated,2/19/2021,12/11/2023,FID0270,IND0191,IND0191
ChildA-2438,Justin Patterson,12/7/2003,Community,Graduated,9/29/2007,12/5/2008,FID0271,IND0199,IND0199
ChildA-2408,Erica Fisher,12/6/2002,Community,Graduated,2/24/2007,12/5/2007,FID0272,IND0202,IND0202
ChildA-1309,Devin Hodge,11/18/2009,Community,Graduated,7/12/2011,11/17/2014,FID0274,IND0208,IND0208
ChildA-1637,Joseph Ortiz,10/28/2017,Community,Graduated,7/5/2019,10/27/2022,FID0275,IND0209,IND0209
ChildA-1992,Julie Strickland,6/20/2017,Community,Graduated,9/20/2017,6/19/2022,FID0276,IND0233,IND0233
ChildA-2464,William Alexander,3/13/2007,Community,Graduated,11/24/2009,3/11/2012,FID0277,IND0236,IND0236
ChildA-2091,Jenny Allen,6/1/2018,Community,Graduated,8/5/2019,5/31/2023,FID0278,IND0250,IND0250
ChildA-2250,Brandi Moss,5/18/2006,Community,Graduated,9/29/2008,5/17/2011,FID0279,IND0260,IND0260
ChildA-1928,Jesus Davis,5/21/2010,City,Graduated,12/13/2014,5/20/2015,FID0280,IND0261,IND0261
ChildA-1513,Carolyn Campbell,7/8/2002,Community,Graduated,11/12/2004,7/7/2007,FID0281,IND0266,IND0266
ChildA-1318,Kristin Vargas,8/11/1995,Community,Graduated,7/17/1998,8/9/2000,FID0282,IND0276,IND0276
ChildA-1640,David Burton,8/21/2009,City,Removed,4/6/2010,2/17/2013,FID0285,IND0317,IND0317
ChildA-1258,Darryl Perez,10/11/2013,Community,Graduated,3/31/2014,9/23/2018,FID0286,IND0324,IND0324
ChildA-1492,Laura Perez,3/10/2005,Community,Graduated,7/19/2005,3/9/2010,FID0288,IND0337,IND0337
ChildA-1847,Dawn Anderson,8/27/2010,Community,Graduated,6/27/2011,8/26/2015,FID0289,IND0353,IND0353
ChildA-1884,Gina Larson,10/16/2020,Community,Removed,12/28/2021,5/31/2022,FID0290,IND0356,IND0356
ChildA-2496,Cory Mcintyre,11/18/1995,Community,Graduated,3/25/2000,11/16/2000,FID0291,IND0363,IND0363
ChildA-1122,Lisa Mcclure,7/9/2012,Community,Graduated,4/15/2013,7/8/2017,FID0292,IND0364,IND0364
ChildA-1976,Samuel Pham,6/6/2008,Community,Graduated,2/12/2012,6/5/2013,FID0293,IND0365,IND0365
ChildA-1312,Lynn Kelley,3/14/2020,City,Graduated,1/19/2022,3/13/2025,FID0294,IND0366,IND0366
ChildA-2362,Marcus Roberts,6/30/2017,City,Removed,12/30/2019,2/21/2020,FID0295,IND0375,IND0375
ChildA-1983,Jose Phillips,4/30/2009,Community,Graduated,9/30/2009,4/29/2014,FID0296,IND0380,IND0380
ChildA-2289,Andrew Morales,6/10/1998,Community,Graduated,5/8/2002,6/9/2003,FID0297,IND0391,IND0391
ChildA-2482,Kelly Jimenez,5/25/2000,Community,Graduated,1/29/2003,5/24/2005,FID0300,IND0400,IND0400
ChildA-1063,Jessica Jordan,1/11/2001,Community,Graduated,11/4/2001,1/10/2006,FID0301,IND0401,IND0401
ChildA-2253,Kenneth Johnston,1/22/2018,City,Removed,6/12/2019,5/14/2020,FID0302,IND0402,IND0402
ChildA-1349,Paul Guerra,11/15/2013,Community,Graduated,3/9/2015,11/14/2018,FID0303,IND0408,IND0408
ChildA-1392,Jessica Price,7/12/2010,Community,Graduated,11/17/2013,7/11/2015,FID0304,IND0411,IND0411
ChildA-2111,James Knox,8/2/1996,Community,Graduated,7/14/2000,8/1/2001,FID0305,IND0414,IND0414
ChildA-1031,Tricia Lewis,2/18/2019,Community,Graduated,9/16/2020,2/17/2024,FID0306,IND0430,IND0430
ChildA-2313,Michelle Nelson,3/7/2011,Community,Graduated,8/17/2013,3/5/2016,FID0307,IND0437,IND0437
ChildA-1757,Tony Griffin,3/31/2005,Community,Graduated,3/15/2010,3/30/2010,FID0308,IND0438,IND0438
ChildA-2422,Joshua Phillips,8/25/2006,Community,Graduated,3/14/2007,8/24/2011,FID0309,IND0444,IND0444
ChildA-1899,Bryan Sutton,11/19/2012,Community,Graduated,7/12/2015,11/18/2017,FID0310,IND0449,IND0449
ChildA-1491,Benjamin Richardson,11/13/2014,City,Graduated,4/21/2017,4/16/2019,FID0311,IND0450,IND0450
ChildA-1911,Victoria Huerta,5/2/2006,Community,Graduated,2/14/2007,5/1/2011,FID0313,IND0452,IND0452
ChildA-1490,Joseph Coleman,1/14/2006,Community,Graduated,3/29/2007,1/13/2011,FID0314,IND0455,IND0455
ChildA-2144,Lisa Serrano,1/16/2002,Community,Graduated,12/10/2004,1/15/2007,FID0315,IND0456,IND0456
ChildA-1706,Christopher Dunn,3/8/2014,Community,Graduated,10/30/2018,3/7/2019,FID0316,IND0459,IND0459
ChildA-2449,Paula Salinas,11/25/2002,Community,Graduated,11/20/2005,11/24/2007,FID0317,IND0460,IND0460
ChildA-1494,Maurice Williams,7/30/1995,Community,Graduated,6/3/1999,7/28/2000,FID0318,IND0461,IND0461
ChildA-2365,Shaun Woods,5/8/2019,Community,Graduated,8/18/2020,5/6/2024,FID0319,IND0462,IND0462
ChildA-1380,Ashley Wilson,12/7/2015,Community,Graduated,4/26/2018,12/5/2020,FID0320,IND0463,IND0463
ChildA-1866,Brittany Lutz,12/23/1997,Community,Graduated,9/20/2000,12/22/2002,FID0321,IND0467,IND0467
ChildA-1635,Eric Hughes,1/3/2004,Community,Graduated,9/19/2006,1/1/2009,FID0322,IND0470,IND0470
ChildA-1687,Paul Stuart,7/29/2010,Community,Graduated,2/2/2012,7/28/2015,FID0323,IND0471,IND0471
ChildA-1877,Mark Daniel,9/11/2013,Community,Graduated,4/15/2014,9/10/2018,FID0324,IND0482,IND0482
ChildA-1807,Frederick Sanders,6/1/1994,Community,Graduated,7/26/1998,5/31/1999,FID0325,IND0493,IND0493
ChildA-2103,Mary Montgomery,12/8/2015,Community,Graduated,12/5/2019,12/6/2020,FID0326,IND0496,IND0496
ChildA-2487,Gregory Park,3/2/2007,City,Graduated,11/11/2009,2/29/2012,FID0327,IND0499,IND0499
ChildA-1261,Crystal Myers,12/26/2004,Community,Graduated,4/7/2008,12/25/2009,FID0328,IND0504,IND0504
ChildA-2283,Laura Gonzalez,9/12/2000,Community,Graduated,3/9/2005,9/11/2005,FID0329,IND0505,IND0505
ChildA-2412,Cody Dunn,3/27/1998,Community,Graduated,10/27/1998,3/26/2003,FID0330,IND0511,IND0511
ChildA-1820,Judith Hansen,1/24/2016,City,Graduated,10/16/2016,1/22/2021,FID0331,IND0512,IND0512
ChildA-2397,Diane Morrison,5/26/2015,Community,Graduated,7/29/2018,5/24/2020,FID0332,IND0514,IND0514
ChildA-1188,Debra Jones,6/9/2003,Community,Graduated,9/7/2006,6/7/2008,FID0333,IND0519,IND0519
ChildA-1235,Christopher Copeland,12/9/2000,Community,Graduated,7/4/2002,12/8/2005,FID0334,IND0524,IND0524
ChildA-1342,Jeremy Fischer,10/28/2009,Community,Graduated,7/6/2010,10/27/2014,FID0335,IND0525,IND0525
ChildA-1171,Michael Kelly,11/6/2006,City,Graduated,7/11/2010,11/5/2011,FID0337,IND0535,IND0535
ChildA-2339,Ricardo Reyes,3/31/2004,Community,Graduated,9/11/2007,3/30/2009,FID0338,IND0544,IND0544
ChildA-2178,Rachel Smith,12/19/2023,Community,Enrolled,1/20/2025,,FID0339,IND0556,IND0556
ChildA-1100,Regina Johnson,5/11/2011,Community,Graduated,11/6/2015,5/9/2016,FID0341,IND0561,IND0561
ChildA-1854,Peter Lyons,5/24/2018,Community,Graduated,10/18/2022,5/23/2023,FID0344,IND0576,IND0576
ChildA-1838,Robert Diaz,12/4/1999,Community,Graduated,7/18/2002,12/2/2004,FID0345,IND0581,IND0581
ChildA-2211,Melanie Wilson,4/14/2008,Community,Graduated,12/21/2010,4/13/2013,FID0346,IND0582,IND0582
ChildA-1851,Elizabeth Hess,9/16/2008,Community,Graduated,6/21/2012,9/15/2013,FID0347,IND0584,IND0584
ChildA-1620,William Williams,11/26/1997,Community,Graduated,6/26/2001,11/25/2002,FID0348,IND0588,IND0588
ChildA-2134,Allen Atkins,8/17/2013,City,Graduated,11/3/2017,8/16/2018,FID0349,IND0597,IND0597
ChildA-1970,Jason Ford,2/3/2003,Community,Graduated,6/1/2007,2/2/2008,FID0350,IND0598,IND0598
